"Boron and Mg/Ca Calibration details for Brabson et al., 2016 in prep",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species                                         (300-425 mm),Label for Boron,Sample ID,Site,Core Details,Age (Mya),Latitude,Longitude,water depth (m),,       d11B       (TPB corrected),2SD on d11B,A,1SD on A,B,1SD on B,Reference,   d11B_borate       (Species Corrected),2SD on d11B,pH,2SD error on pH,,Mg24/Ca,A,1SD on A,B,1SD on B,Reference,TEMP_C (Mg/Ca),1SD on Temp
Orbulina universa,B28,1LB,U1490C,"363-U1490C-1H-1W, 0-1cm",top,5.82,142.65,2341,,13.43,0.11,0.95,0.16,-0.42,2.85,"Henehan et al., 2016",14.58,0.11,7.57,0.04,,6.88,0.090,0.000,0.595,0.042,"Anand et al., 2003",27.20,0.28
Trilobatus trilobus,B29,1LB,U1490C,"363-U1490C-1H-1W, 0-1cm",top,5.82,142.65,2341,,19.76,0.08,0.82,0.22,3.94,4.02,"Sanyal et al., 2000 refit by Martinez-Boti et al., 2015",19.29,0.08,8.12,0.01,,4.12,0.090,0.000,0.347,0.011,"Anand et al., 2003",27.49,0.04
Globigerinella siphonifera,B30,1LB,U1490C,"363-U1490C-1H-1W, 0-1cm",top,5.82,142.65,2341,,18.23,0.09,0.95,0.13,0.18,0.6,"""Deep Dwellers"" Guillermic et al., 2020; Foster et al., 2008; Henehan et al., 2016; Raitzsch et al., 2018",19.00,0.09,8.13,0.02,,3.42,0.090,0.000,0.380,0.000,"Anand et al., 2003 (multi-species)",24.41,0.00
Globorotalia tumida,B31,1LB,U1490C,"363-U1490C-1H-1W, 0-1cm",top,5.82,142.65,2341,,17.12,0.13,0.57,1.2,6.33,2.52,"Guillermic et al., 2020",18.93,0.13,8.17,0.02,,2.36,0.090,0.000,0.380,0.000,"Anand et al., 2003",20.29,0.00
Globorotalia ungulata,B32,1LB,U1490C,"363-U1490C-1H-1W, 0-1cm",top,5.82,142.65,2341,,17.16,0.10,0.95,0.13,0.18,0.6,"""Deep Dwellers"" Guillermic et al., 2020; Foster et al., 2008; Henehan et al., 2016; Raitzsch et al., 2018",17.87,0.10,8.15,0.02,,2.84,0.083,0.000,0.840,0.000,"Anand et al., 2003 (deep dweller)",14.68,0.00
Pulleniatina obliquiloculata,B33,1LB,U1490C,"363-U1490C-1H-1W, 0-1cm",top,5.82,142.65,2341,,17.05,0.04,0.59,0.65,5.59,4.16,"Guillermic et al., 2020; Henehan et al., 2016",19.42,0.04,8.18,0.01,,2.66,0.090,0.000,0.328,0.007,"Anand et al., 2003",23.26,0.03
Trilobatus sacculifer,B34,4LB,U1490C,"363-U1490C-6H-3W, 23-24 cm",3.2,5.82,142.65,2341,,18.76,0.17,0.82,0.22,3.94,4.02,"Sanyal et al., 2000 refit by Martinez-Boti et al., 2015",18.07,0.17,8.02,0.03,,3.95,0.090,0.000,0.347,0.011,"Anand et al., 2003",27.02,0.04
Globigerinoides ruber,B35,4LB,U1490C,"363-U1490C-6H-3W, 23-24 cm",3.2,5.82,142.65,2341,,19.24,0.10,0.60,0.11,9.52,2.02,"Henehan et al., 2013",16.20,0.10,7.84,0.02,,4.23,0.085,0.006,0.480,0.070,"Anand et al., 2003",25.60,1.85
Trilobatus trilobus,B36,4LB,U1490C,"363-U1490C-6H-3W, 23-24 cm",3.2,5.82,142.65,2341,,18.63,0.23,0.82,0.22,3.94,4.02,"Sanyal et al., 2000 refit by Martinez-Boti et al., 2015",17.91,0.23,8.00,0.04,,3.98,0.090,0.000,0.347,0.011,"Anand et al., 2003",27.11,0.04
Globorotalia tumida,B37,4LB,U1490C,"363-U1490C-6H-3W, 23-24 cm",3.2,5.82,142.65,2341,,16.03,0.12,0.57,1.2,6.33,2.52,"Guillermic et al., 2020",17.02,0.12,7.97,0.03,,2.83,0.090,0.000,0.380,0.000,"Anand et al., 2003",22.31,0.00
Globorotalia ungulata,B38,4LB,U1490C,"363-U1490C-6H-3W, 23-24 cm",3.2,5.82,142.65,2341,,16.10,0.24,0.95,0.13,0.18,0.6,"""Deep Dwellers"" Guillermic et al., 2020; Foster et al., 2008; Henehan et al., 2016; Raitzsch et al., 2018",16.76,0.24,8.01,0.05,,3.42,0.083,0.000,0.840,0.000,"Anand et al., 2003 (deep dweller)",16.92,0.00
Pulleniatina obliquiloculata,B39,4LB,U1490C,"363-U1490C-6H-3W, 23-24 cm",3.2,5.82,142.65,2341,,16.04,0.26,0.59,0.65,5.59,4.16,"Guillermic et al., 2020; Henehan et al., 2016",17.71,0.26,8.02,0.05,,2.96,0.090,0.000,0.328,0.007,"Anand et al., 2003",24.44,0.03
Orbulina universa,B40,4LB,U1490C,"363-U1490C-6H-3W, 23-24 cm",3.2,5.82,142.65,2341,,17.06,0.17,0.95,0.16,-0.42,2.85,"Henehan et al., 2016",18.40,0.17,8.10,0.03,,4.51,0.090,0.000,0.595,0.042,"Anand et al., 2003",22.51,0.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
